# OLD_NAME, NEW_NAME
Budak Arpinar,Ismailcem Budak Arpinar
I. Arpinar,Ismailcem Budak Arpinar
Victor W. Mbarika,Victor Wacham A. Mbarika
Victor W. A. Mbarika,Victor Wacham A. Mbarika
Jesús Labart,Jesús Labarta
Jesús Laborta,Jesús Labarta
V. Chrissikopoulos,Vassilios Chrissikopoulos
Vassileios Chrissikopoulos,Vassilios Chrissikopoulos
F. J. Smith,F. Jack Smith
Jack Smith,F. Jack Smith
Paola G. Merlo,Paola Merlo
Paolo Merlo,Paola Merlo
Ira S. Moskowtiz,Ira S. Moskowitz
Gheorgh Paun,Gheorghe Paun
Kannan Ramachandran,Kannan Ramchandran
E. S. Dietrich,Eric Dietrich
Hamjime Sawamura,Hajime Sawamura
Takeo Kanada,Takeo Kanade
D. Meyerhoff,Dirk Meyerhoff
Michel Cornard,Michel Cosnard
Rolf-Peter Liedke,Rolf-Peter Liedtke
Ramazan Savas Aygun,Ramazan Savas Aygün
Kurt Stockinge,Kurt Stockinger
Ling-yu Duan,Ling-Yu Duan
Guang R. Ga,Guang R. Gao
Yukiko Nakano,Yukiko I. Nakano
Marc A. Marti-Renom,Marc A. Martí-Renom
Pierre Fraigniau,Pierre Fraigniaud
Kwang-Tin Cheng,Kwang-Ting Cheng
Zbigiew Les,Zbigniew Les
David G. Messerschmett,David G. Messerschmitt
M. Mosbath,Mohamed Mosbah
Xie Zhipeng,Zhipeng Xie
Sakesh Agrawal,Rakesh Agrawal
Manuel Garcí-Solaco,Manuel García-Solaco
Jean Pierre Courtiat,Jean-Pierre Courtiat
Starr Roxanne Hilt,Starr Roxanne Hiltz
Eric Steven Atwell,Eric Atwell
Tarek F. Abdelzahe,Tarek F. Abdelzaher
Elke A. Rudensteiner,Elke A. Rundensteiner
Peter Schröoder,Peter Schröder
Ümit V. Çatalyurek,Ümit V. Çatalyürek
F. Haenni,Florence Haenni
Nicola Santor,Nicola Santoro
Heui-Soek Lim,Heui-Seok Lim
Magdelena Les,Magdalena Les
Dogan Kedogan,Dogan Kesdogan
Oeter Olivieri,Peter Olivieri
Jannick P. Rollan,Jannick P. Rolland
Rolf Erns,Rolf Ernst
Anop Gupta,Anoop Gupta
David De Rour,David De Roure
MarkH. Overmars,Mark H. Overmars
Antonio Fernandez-Caballero,Antonio Fernández-Caballero
L. J. Matthijssen,Luuk Matthijssen
Sena Arpinar,Sena Nural Arpinar
V. S. Subrahamanian,V. S. Subrahmanian
P.-Y. Yin,Peng-Yeng Yin
Miguel Angel Fernandez,Miguel Angel Fernández
Xiao-dong Yu,Xiao-Dong Yu
Anil K. Jai,Anil K. Jain
J. Stein,Jacob Stein
José Duat,José Duato
Andreas Kuchlmann,Andreas Kuehlmann
Miodrag Potkanjak,Miodrag Potkonjak
B. O'Leary,Brian O'Leary
Claudio Morara,Claudio Moraga
Noboru Babagushi,Noboru Babaguchi
Ana E. Delgado Delgado,Ana E. Delgado García
Doborah Joseph,Deborah Joseph
Mong-Li Le,Mong-Li Lee
Costas S. Iliopouls,Costas S. Iliopoulos
Susanne Roehrig,Susanne Röhrig
Rolf Lakäper,Rolf Lakämper
Leonid Gurvit,Leonid Gurvits
J. Ming,Ji Ming
Ch. Ruland,Christoph Ruland
Donna Byron,Donna K. Byron
H. Fujiwara,Hideo Fujiwara
Hideo Fijiwara,Hideo Fujiwara
Carolyn P. Rosé,Carolyn Penstein Rosé
Carolyn Penstein Rose,Carolyn Penstein Rosé
Pál Benk,Pál Benkö
Pál Benko,Pál Benkö
Maria G. Schwarze,María G. Schwarze
Robert B. Spencee,Robert B. Spencer
Trevor N. Mudg,Trevor N. Mudge
A. J. Gavin,Allen J. Gavin
Michael T. Hallet,Michael T. Hallett
Gabiella Csurka,Gabriella Csurka
Steve Whitaker,Steve Whittaker
T. Shinohara,Takeshi Shinohara
Kay Müller-Jones,Kai Müller-Jones
Adriana Zapic,Adriana Zapico
Frédéic Bapst,Frédéric Bapst
L. Karlsson,Lars Karlsson
Taghi M. Khoshgoftar,Taghi M. Khoshgoftaar
K. Szymanski,Klaus Szymanski
R. Treloar,Robert Treloar
Annette Ten Teije,Annette ten Teije
Franz J. Ramming,Franz J. Rammig
Randy E. Pausch,Randy F. Pausch
bdulaziz Al-Mulhem,Abdulaziz Al-Mulhem
Mark Horowit,Mark Horowitz
Hogrefe Dieter,Dieter Hogrefe
A. E Kwitek,A. E. Kwitek
A. Piperno,Adolfo Piperno
Jürgen Selletin,Jürgen Sellentin
P. Weil,Pascal Weil
Markus Nuttgens,Markus Nüttgens
R. F. Tobler,Robert F. Tobler
Alexandros Eleftheridis,Alexandros Eleftheriadis
Franca Garzotta,Franca Garzotto
Andrzej Szaas,Andrzej Szalas
B. Fasel,Bernd Fasel
P. Cintioli,Patrizio Cintioli
N. W. Sauer,Norbert Sauer
N. Guimarães,Nuno Guimarães
Loay Sabry-Ismail,Loay Sabry-Ismaïl
Scott E. Hudso,Scott E. Hudson
J. V. Knop,Jan V. Knop
Mohan S. Kankanhall,Mohan S. Kankanhalli
N. Tishby,Naftali Tishby
Alberto Policiriti,Alberto Policriti
Edmund Clarke,Edmund M. Clarke
R. W. Hohnson,R. W. Johnson
Carlos Sanchez,Carlos Sánchez
Pekka Orponnen,Pekka Orponen
S. Skiena,Steven Skiena
Riccardo Forcardi,Riccardo Focardi
S. Sezer,Sakir Sezer
Rouming Jin,Ruoming Jin
C. Metra,Cecilia Metra
Celilia Metra,Cecilia Metra
Arthur H. M. Van Roermund,Arthur H. M. van Roermund
A. H. M. van Roermund,Arthur H. M. van Roermund
Andras Schubert,András Schubert
Alexandre Bouded,Alexandre Boudet
Shusaku Tsumato,Shusaku Tsumoto
Adam I . Wacey,Adam I. Wacey
A. R. Turquette,Atwell R. Turquette
A. Bolshoy,Alexander Bolshoy
Akihiko Ohsuya,Akihiko Ohsuga
Antonio Puliafit,Antonio Puliafito
N. Nikolaidis,Nikos Nikolaidis
Franz Schhmalhofer,Franz Schmalhofer
M. Scarpa,Marco Scarpa
A. C. Scheiner,Andrew C. Scheiner
Maxim Svirdenko,Maxim Sviridenko
A. Kehagias,Athanasios Kehagias
A. De Montalvo,A. de Montalvo
Colin Mcmartin,Colin McMartin
I. Rojas,Ignacio Rojas
Antonio Ruiz-Cortés,Antonio Ruiz Cortés
Ray Berg,Raymond Berg
Alexandler Tropsha,Alexander Tropsha
Aurel A. Lazer,Aurel A. Lazar
Adrian Cristal,Adrián Cristal
Armin Bämker,Armin Bäumker
T. Kunert,Tobias Kunert
Francisco J. Gomez,Francisco J. Gómez
A. HeydarNoori,A. Heydar Noori
Sven Schuiere,Sven Schuierer
Kohji Zettsu,Koji Zettsu
Denis Lapoir,Denis Lapoire
Stephen A. Brewste,Stephen A. Brewster
A. E. Todd,Annabel E. Todd
Michael Brudnd,Michael Brudno
Víctor M. Gulís,Víctor M. Gulías
Seén Ó Nualláin,Seán Ó Nualláin
Ondrej Novak,Ondrej Novák
P. Michael Melliar-Smith,P. M. Melliar-Smith
Simon Baat,Simon Baatz
Elliiot L. Linzer,Elliot L. Linzer
Leonid V. Tsa,Leonid V. Tsap
Michael Liljenstram,Michael Liljenstam
A. C. Isenberg,Allen C. Isenberg
Maryline Laruent,Maryline Laurent
Bastiaan Schonhage,Bastiaan Schönhage
M. Baumgarten,Matthias Baumgarten
Paul Mc Kevitt,Paul McKevitt
Bernd Gruegge,Bernd Bruegge
A. J. Morffew,Andy J. Morffew
Antal van der Bosch,Antal van den Bosch
Monique Teillaub,Monique Teillaud
Ron H. Perrott,Ronald H. Perrott
Boudewijn P. F Lelieveldt,Boudewijn P. F. Lelieveldt
Andr'ás Fiser,András Fiser
A. Agnetis,Alessandro Agnetis
Mark Core,Mark G. Core
A. W. Ryan,Anne W. Ryan
A. M. Treasurywala,Adi M. Treasurywala
Mark d' Inverno,Mark d'Inverno
Margaret M. Flec,Margaret M. Fleck
A. Rinkel,Andreas Rinkel
M. Papadaki,Maria Papadaki
A. Gaulton,Anna Gaulton
Jason M. Daid,Jason M. Daida
Martin Köler,Martin Köhler
Imrich Clamtac,Imrich Chlamtac
Mireille Régnie,Mireille Régnier
A. Cobo,Angel Cobo
Evgens Gladilin,Evgeny Gladilin
Reuven Bar-Yehuada,Reuven Bar-Yehuda
Ulich Bockholt,Ulrich Bockholt
Adrew R. Leach,Andrew R. Leach
Chung- Len Lee,Chung-Len Lee
Päe Quittner,Páe Quittner
I. Phan,Isabelle Phan
A. Hotz-Wagenblatt,Agnes Hotz-Wagenblatt
D. Janin,David Janin
S. Di Francescantonio,Stefano Di Francescantonio
Andrew Finch,Andrew M. Finch
V. R. Algazi,V. Ralph Algazi
Ronald A. Olsso,Ronald A. Olsson
Eugene J. H Kerckhoffs,Eugene J. H. Kerckhoffs
Dorothy E. Steliff,Dorothy E. Setliff
Robert J. Moorhea,Robert J. Moorhead
B. B. Chaudhur,B. B. Chaudhuri
Rodolf Kober,Rudolf Kober
Davod R. Lakin II,David R. Lakin II
André Shiper,André Schiper
Jan Corenelis,Jan Cornelis
Jose E. Román,José E. Román
Joachim M. Buhrmann,Joachim M. Buhmann
Emilia Rost,Emilia Rosti
Nasser M Nasrabadi,Nasser M. Nasrabadi
Tat-seng Chua,Tat-Seng Chua
William A. Barret,William A. Barrett
Antonio Casimir,Antonio Casimiro
Dimosthenis Karatza,Dimosthenis Karatzas
Tzyh-Jong Tarn,Tzyh Jong Tarn
Tzyj Jong Tarn,Tzyh Jong Tarn
Fabio Paternà,Fabio Paternò
Alfonso G. Ferreira,Afonso Ferreira
Giuliana Vitiell,Giuliana Vitiello
Guiliana Vitiello,Giuliana Vitiello
Tómas Brodský,Tomás Brodský
Ehasn Vossough,Ehsan Vossough
hsan Vossough,Ehsan Vossough
H. Papageorgiou,Harris Papageorgiou
Haris Papageorgiou,Harris Papageorgiou
Byung-ju Yi,Byung-Ju Yi
Byung Ju Yi,Byung-Ju Yi
András Lõrincz,András Lörincz
András Lrincz,András Lörincz
Ivan Damgard,Ivan Damgård
Ivan Damågrd,Ivan Damgård
Tim O?Neill,Tim O'Neill
Paul E Rybski,Paul E. Rybski
Mårten Bjorkman,Mårten Björkman
Efim B Kinber,Efim B. Kinber
Sujit T Zachariah,Sujit T. Zachariah
Héctor Rotstei,Héctor Rotstein
M. A Rodrigues,M. A. Rodrigues
Franços Lévy,François Lévy
S. Rus,Silvius Rus
Holger Brandig,Holger Branding
L. Fuentes,Lidia Fuentes
Kevin M. Bowyer,Kevin W. Bowyer
Martin Cernohorsky,Martin Cernohorský
Keith Chevers,Keith Cheverst
Jennifer l. Welch,Jennifer L. Welch
Ettore Melo,Ettore Merlo
Bogadan Matei,Bogdan Matei
V. Nollet,Vincent Nollet
Vassilis Athitso,Vassilis Athitsos
Majid Sarrfzadeh,Majid Sarrafzadeh
Bridgitte Verdonk,Brigitte Verdonk
Ioannis A. Kakadaris,Ioannis A. Kakadiaris
Jcques Labiche,Jacques Labiche
Michael O. Akind,Michael O. Akinde
Andreas Köng,Andreas König
Bendick Malheko,Bendick Mahleko
Muffy Thmoas,Muffy Thomas
Pascual Gonzalez,Pascual González
Raj Gopalan,Raj P. Gopalan
M. J. B. Robshaw,Matthew J. B. Robshaw
Pierre Brézelle,Pierre Brézellec
Bruce J. Mckenzie,Bruce J. McKenzie
Sedat Akyurek,Sedat Akyürek
Srinivas Davadas,Srinivas Devadas
S. Ott,Sascha Ott
W. Brent Seale,W. Brent Seales
Curt Ellman,Curt Ellmann
Miques Solà,Miquel Solà
J. Th. Van der Linden,J. Th. van der Linden
V. Metzler,Volker Metzler
Jacques Tissau,Jacques Tisseau
Y. Y Cheung,Y. Y. Cheung
Behçcet Sarikaya,Behçet Sarikaya
Steven M. Nowic,Steven M. Nowick
Otman A. Basbir,Otman A. Basir
B. Jayaraman,Bharat Jayaraman
Mark Vaudenwauver,Mark Vandenwauver
J. Pazos,Juan Pazos
Aurora Pons Porrata,Aurora Pons-Porrata
Seongmoon SWang,Seongmoon Wang
Stéphane Ubeda,Stéphane Ubéda
Francky Catthoo,Francky Catthoor
Guillermo Ricardo Simar,Guillermo Ricardo Simari
David B. Shomys,David B. Shmoys
Rémy Mullo,Rémy Mullot
Babak Akghar,Babak Akhgar
P. Lucibello,Pasquale Lucibello
Fabrizio Lombard,Fabrizio Lombardi
Roby,Robby
Michal Kuty,Michal Kutý
Michele Missikof,Michele Missikoff
Ivan Hal Sudboroughl,Ivan Hal Sudborough
Jean-Marie Jaquet,Jean-Marie Jacquet
Jörg Henke,Jörg Henkel
Tahir Cagin,Tahir Çagin
P. Nouet,Pascal Nouet
Moisés Goldzsmidt,Moisés Goldszmidt
Bernardo Maginini,Bernardo Magnini
Carl-Johan H. Serger,Carl-Johan H. Seger
Yoelle S. Maarek,Yoëlle S. Maarek
Klaus Lóffler,Klaus Löffler
Jean-Pierre Derutin,Jean-Pierre Dérutin
R. Giaccio,Roberto Giaccio
J. Ko,Jason Ko
G. Monn,Greg Monn
Brian D. Davidson,Brian D. Davison
Yannis Mannoussakis,Yannis Manoussakis
Hans Dybkjæ,Hans Dybkjær
Bernard Pottie,Bernard Pottier
Philip J Rhodes,Philip J. Rhodes
Mahmoud Naghsineh,Mahmoud Naghshineh
Bruce Schneir,Bruce Schneier
Naohiro Ishi,Naohiro Ishii
J. Gagliano,Joseph Gagliano
P. Faure,Penelope Faure
Laila Dybkjæ,Laila Dybkjær
William B Levy,William B. Levy
Beatriz Souza Santos,Beatriz Sousa Santos
V. Braun,Volker Braun
Jorrge Moreira de Souza,Jorge Moreira de Souza
Yuval Ravani,Yuval Rabani
S. Thiria,Sylvie Thiria
Susan Davidson,Susan B. Davidson
V. Beroulle,Vincent Beroulle
S Periyalwar,S. Periyalwar
Ney Calazan,Ney Calazans
Pragnesh J. Modi,Pragnesh Jay Modi
Fiorella De Cindio,Fiorella de Cindio
L. Latorre,Laurent Latorre
Bernhard Döflinger,Bernhard Dörflinger
J. M. Potte,J. M. Potter
Rajnikant V Patel,Rajnikant V. Patel
B. Schulze,Bruno Schulze
Thomas G. Diettrich,Thomas G. Dietterich
Eric Anquetil,Éric Anquetil
Barbak Esfandiari,Babak Esfandiari
David Mumfor,David Mumford
M Babes,M. Babes
Knut Menzel,Knuth Menzel
George W. Fitzmzurice,George W. Fitzmaurice
Robert-C. Riemapn,Robert-C. Riemann
Mateo Valer,Mateo Valero
H. M. W. (Erik) Verbeek,H. M. W. (Eric) Verbeek
L. Storc,Lise Storc
Jmes E. Mankovich,James E. Mankovich
Sôren Christensen,Søren Christensen
Akinori Yonezaw,Akinori Yonezawa
Lars Wanhammer,Lars Wanhammar
M. Frans Kasshoek,M. Frans Kaashoek
Devid E. Goldberg,David E. Goldberg
F. Cacace,Filippo Cacace
T. N Tan,T. N. Tan
W Kenneth Jenkins,W. Kenneth Jenkins
Chri Kasabach,Chris Kasabach
Randall Bramle,Randall Bramley
Chihab Hanach,Chihab Hanachi
T. Meitinger,Th. Meitinger
William Aiollo,William Aiello
William H. Saunders,William H. Sanders
Mohammad Zubai,Mohammad Zubair
José G. Castañs,José G. Castaños
T. Wüst,Thomas Wüst
Josep M Banús,Josep M. Banús
Peter Ruzieka,Peter Ruzicka
Anibal T. De Almeida,Anibal T. de Almeida
Hrand Agazarian,Hrand Aghazarian
Cristos D. Zaroliagis,Christos D. Zaroliagis
Haiko Mülle,Haiko Müller
Massoud Pedarm,Massoud Pedram
Manuel L. Anid,Manuel L. Anido
Ding-Zhi Du,Ding-Zhu Du
Rrob Short,Rob Short
A. G. Hoekstra,Alfons G. Hoekstra
S. M. R Iravani,S. M. R. Iravani
Nilolaos Papanikolopoulos,Nikolaos Papanikolopoulos
George Woberg,George Wolberg
Nikola tambuk,Nikola Stambuk
Nikola Tambuk,Nikola Stambuk
Jörg-R. Hill,Jörg-Rüdiger Hill
Jörg R. Hill,Jörg-Rüdiger Hill
C. Rawlings,Christopher J. Rawlings
Chritopher J. Rawlings,Christopher J. Rawlings
A. S. Morozov,Andrei S. Morozov
Andrey Morozov,Andrei S. Morozov
Joaquín Fernández--Valdivia,Joaquín Fernández-Valdivia
C. W. v. d. Lieth,Claus-Wilhelm von der Lieth
C. W. Von Der Lieth,Claus-Wilhelm von der Lieth
L. M. Luo,Limin Luo
K. D. Müller-Glaser,Klaus D. Müller-Glaser
F. A. Settle,Frank A. Settle
G. Nebe,Gabriele Nebe
E. Kleinpeter,Erich Kleinpeter
Jitendra Mali,Jitendra Malik
Nobert Mersch,Norbert Mersch
Yutaka Ishikaw,Yutaka Ishikawa
Vesna Barbari,Vesna Barbaric
G. Carrier,Gerard Carrier
H. Z. Shu,Huazhong Shu
Adam Prügel-Bennet,Adam Prügel-Bennett
Nobert J. Fliege,Norbert J. Fliege
S. P. McGlynn,Sean P. McGlynn
M. Jöbstl,Markus Jöbstl
A. Hennig,Andreas Hennig
Pedro J. Martin,Pedro J. Martín
George I. Stassinopulos,George I. Stassinopoulos
Adrian Bueren,Adrian Büren
Steven K. Renhardt,Steven K. Reinhardt
Krzysztof Kuchcinsk,Krzysztof Kuchcinski
Philippe Dorondeau,Philippe Darondeau
Jürg Becker,Jörg Becker
George Chang,George Jyh-Shian Chang
K. S. Lebedev,Konstantin S. Lebedev
Heidrun Schuman,Heidrun Schumann
JongIn Lim,Jong In Lim
R. Morrison,Ronald Morrison
Guocan Feng,Guo-Can Feng
Kewal K. Salyja,Kewal K. Saluja
J. P. Robinson,John P. Robinson
Rosa Rodríguez-Sánchez,Rosa Rodriguez-Sánchez
M. A. Pleva,Michael A. Pleva
Th. Schecke,Thomas Schecke
T. Laidboeur,Thierry Laidboeur
Ferruccio Mandordi,Ferruccio Mandorli
Zoran Markovi,Zoran Markovic
Martin Atzmueller,Martin Atzmüller
Wolfgang Koenig,Wolfgang König
W. Küker,Wilhelm Küker
M. Deliz,Mauricio Deliz
ChenzhongCao,Chenzhong Cao
Markus Lindermeie,Markus Lindermeier
A. Harrer,Andreas Harrer
Thomas J. Hacke,Thomas J. Hacker
Yuval Shahr,Yuval Shahar
A. Bodnarova,Adriana Bodnarova
Kristina Vrljiak,Kristina Vrljicak
N. A. Farmer,Nick A. Farmer
M. F. Guest,Martyn F. Guest
H. B. Lu,Haibin Lu
Bernd Gaertner,Bernd Gärtner
W. J. Dunn,William J. Dunn
Steven Eschric,Steven Eschrich
Henry D. Crockett,Henry David Crockett
Fabian Maeser,Fabian Mäser
Pako Konjevoda,Pasko Konjevoda
Anthony Skellum,Anthony Skjellum
Bert Juettler,Bert Jüttler
F. Schacherer,Frank Schacherer
V. A. Coenen,Volker A. Coenen
G. Zehetner,Günther Zehetner
Seldon M. Schuster,Sheldon M. Schuster
Rolf-Juergen Vilser,Rolf-Jürgen Vilser
R. A. Kendall,Rick A. Kendall
Tsai Du-Ming,Du-Ming Tsai
J. A. García,José A. García
Iratxe Soraluze,Iratxe Soraluze Arriola
Sang-Uk Lee,Sang Uk Lee
Dragan Ami,Dragan Amic
P. R. Dietmüller,Peter R. Dietmüller
Ljiljana Nii,Ljiljana Nizic
Riichiro Mizoguch,Riichiro Mizoguchi
Jirí Damborsky,Jirí Damborský
Nikola Mai,Nikola Masic
Yucel Karabulut,Yücel Karabulut
Hans R. Mueller,Hans R. Müller
Enver Yücesa,Enver Yücesan
Christine Geünd,Christine Gemünd
Bülent. Sankur,Bülent Sankur
Michael Güssel,Michael Gössel
Matthias Kaiserwerth,Matthias Kaiserswerth
Alexander Russel,Alexander Russell
Nobert Waleschkowski,Norbert Waleschkowski
Gulcin H. Sengir,Gülcin H. Sengir
J. Ciarkowski,Jerzy Ciarkowski
H.-S. Kang,Hyun Soo Kang
J. Cleve,Jürgen Cleve
Rald Kühnel,Ralf Kühnel
Ibrahim H. ünyüksel,Ibrahim H. Önyüksel
Duanka Davidovi-Ami,Dusanka Davidovic-Amic
Drago Belo,Drago Beslo
Danica Batini,Danica Batinic
Sascha Luedecke,Sascha Lüdecke
Svetlana Markovi,Svetlana Markovic
Marjana Novi,Marjana Novic
Markus Pische,Markus Pischel
D. C. Brown,David C. Brown
Danko Miloevi,Danko Milosevic
D. K. Sinha,Dilip K. Sinha
Joanthan M. Cargille,Jonathan M. Cargille
L. Gelman,Leonid Gelman
A. Thron,Armin Thron
Jacaues Calmet,Jacques Calmet
Günter Riedewal,Günter Riedewald
Wolfgang Stuerzlinger,Wolfgang Stürzlinger
I. Andreadis,Ioannis Andreadis
L. C. Davison,Linda C. Davison
A. Simó,Amelia Simó
A. Simò,Amelia Simó
A. Simón,Amelia Simó
E. de Ves,Esther de Ves
E. De Ves,Esther de Ves
R. Chellappa,Rama Chellappa
Rama Chellapp,Rama Chellappa
M. Clamp,Michele E. Clamp
M. e. Clamp,Michele E. Clamp
Olga Hadzi,Olga Hadzic
Nicole Drechsle,Nicole Drechsler
Luc Boasson. Joaquim Gabarró,Luc Boasson
Xiangyang Xue Audio Watermarking Based on Music Content Analysis,Xiangyang Xue
Harpreet S. Sawhne,Harpreet S. Sawhney
Ernest F. Brickel,Ernest F. Brickell
Pavol Návra,Pavol Návrat
Rolf Riese,Rolf Riesen
Edward N. Zalt,Edward N. Zalta
S. Dvorá,S. Dvorák
Helmar Bergman,Helmar Bergmann
Sylvie Servign,Sylvie Servigne
Mark K. Gardnery,Mark K. Gardner
et al. A. Roy,A. Roy
Tolga Tasdizen Jean-Philippe Tarel,Tolga Tasdizen
Allison M. Okamur,Allison M. Okamura
David R. Britton Jr,David R. Britton Jr.
Roger Waelti,Roger Wälti
Donald S. Fussel,Donald S. Fussell
Walter Brenne,Walter Brenner
Mario Vent,Mario Vento
Michael Broxtonyx,Michael Broxton
Theo Mevissen,Heinz-Theodor Mevissen
avid. Suter,David Suter
Joerg Ernst,Jörg Ernst
L. Duret,Laurent Duret
Jroslaw Stepaniuk,Jaroslaw Stepaniuk
Michael Boehnlein,Michael Böhnlein
Terry Speed,Terence P. Speed
James R. Marsde,James R. Marsden
Mani B. Srivastav,Mani B. Srivastava
Masashi Morikaw,Masashi Morikawa
Ali Ridha Mahjou,Ali Ridha Mahjoub
Mingshu L,Mingshu Li
Neil McLachla,Neil McLachlan
Kyle Galliva,Kyle Gallivan
Keith Harriso,Keith Harrison
Alan S. Wagne,Alan S. Wagner
Jovisa D. Zuni,Jovisa D. Zunic
Hakan Aydi,Hakan Aydin
Pascal Paillierinst,Pascal Paillier
Fujiichi Yoshimot,Fujiichi Yoshimoto
Takeiki Aizon,Takeiki Aizono
V. Oganovskij M. Schlesinger,V. Oganovskij
Mark Bernd Kulaczewsk,Mark Bernd Kulaczewski
Ellen Sentovicha,Ellen Sentovich
Ilia Polia,Ilia Polian
Jaejin Le,Jaejin Lee
Els Van Herreweghe,Els Van Herreweghen
N. F. Law,Ngai-Fong Law
Magdalena Gajewsk,Magdalena Gajewsky
Spyros Ligoudistiano,Spyros Ligoudistianos
Peter Feldman,Peter Feldmann
Ahmed Gheit,Ahmed Gheith
Kurt Reinhard,Kurt Reinhardt
Robin Cohe,Robin Cohen
Yasunori Kimur,Yasunori Kimura
Bernd Schoener,Bernd Schöner
Francisco Santos.,Francisco Santos
Rengul Cetin-Atalay,Rengül Çetin-Atalay
Mary Beth Watson-Manh,Mary Beth Watson-Manheim
Gerhard Sager,Gerhard Sagerer
Y.-M. Deng EFDEX,Y.-M. Deng
Amela Sadagi,Amela Sadagic
André Elisseef,André Elisseeff
Kenji Tod,Kenji Toda
Andreas Hoffman,Andreas Hoffmann
Serge Chaumett,Serge Chaumette
Kenneth M. Merz Jr,Kenneth M. Merz Jr.
Jong Eun Ha,Jong-Eun Ha
Markus Schneide,Markus Schneider
Nicolas Belloi,Nicolas Belloir
J. L. Barrio,J. L. Barrios
Houari A. Sahraou,Houari A. Sahraoui
IIrena Roterman,Irena Roterman
Martin Travers,Martin Traverso
Wei Yun Yau,Wei-Yun Yau
Kap Luk Cha,Kap Luk Chan
Ilia Baldin,Ilia Baldine
Horst Bischo,Horst Bischof
Rajendra Yavatka,Rajendra Yavatkar
Callum Galbraithy,Callum Galbraith
Olga Ratsimor,Olga Ratsimore
Kristin P. Bennet,Kristin P. Bennett
A. Pilot,Albert Pilot
Bernd Koenemann,Bernd Könemann
Jorge C. A. de Figueired,Jorge C. A. de Figueiredo
Lawrence B. Wolf,Lawrence B. Wolff
Guy Event,Guy Even
P. Vitali et al,P. Vitali
Johan Opsommer.,Johan Opsommer
R. Chung,Ronald Chung
Roberto Zafalo,Roberto Zafalon
Giuseppe Mangion,Giuseppe Mangioni
Mark S. Ackerma,Mark S. Ackerman
Philip Heng Wai Leon,Philip Heng Wai Leong
Marta Sabo,Marta Sabou
Michael Ortega-Binderberge,Michael Ortega-Binderberger
Ramin Zabi,Ramin Zabih
Robert I. Dampe,Robert I. Damper
Shu-Ching Che,Shu-Ching Chen
Larry S. Davi,Larry S. Davis
Giuseppe Long,Giuseppe Longo
Paul C. Clement,Paul C. Clements
Jayme Luiz Szwarcfite,Jayme Luiz Szwarcfiter
György Vaszi,György Vaszil
Sanghoon Leem,Sanghoon Lee
Nandlal L. Sard,Nandlal L. Sarda
D. Lester,David Lester
Andrew Dahley inTouch,Andrew Dahley
D. N. Jayasimh,D. N. Jayasimha
Emilio Benfenat,Emilio Benfenati
Dimitris N. Metaxa,Dimitris N. Metaxas
Anand Raghunatha,Anand Raghunathan
Steven J. Fitzpatri,Steven J. Fitzpatrick
Eytan Ada,Eytan Adar
Jens Claussen,Jens Claußen
Prashant J. Sheno,Prashant J. Shenoy
Paul A. Farrel,Paul A. Farrell
Haruaki Yamazak,Haruaki Yamazaki
Margret Gross-Hardt,Margret Groß-Hardt
Friedrich Schoen,Friedrich Schön
Vangalur S. Alaga,Vangalur S. Alagar
Pasquale Pagan,Pasquale Pagano
Dan S. Wallac,Dan S. Wallach
Hoda S. Abdel-Aty-Zohd,Hoda S. Abdel-Aty-Zohdy
Hubert Oesterle,Hubert Österle
Kazuyuki Aihar,Kazuyuki Aihara
Athula Ginig,Athula Ginige
Maria Virvo,Maria Virvou
Dee Jay Randal,Dee Jay Randall
Richard J. Enbod,Richard J. Enbody
Jing-yu Yang,Jing-Yu Yang
Béla Bollobá,Béla Bollobás
Nada Milisavljevi,Nada Milisavljevic
Nur A. Toubay,Nur A. Touba
Frank Hoffman,Frank Hoffmann
Ivana Miki,Ivana Mikic
Stefan Roettger,Stefan Röttger
Geoffrey M. Downss,Geoffrey M. Downs
Adam Engelharty,Adam Engelhart
Egor S. Sogomonya,Egor S. Sogomonyan
Michael Hallin,Michael Halling
C. Winkelhol,C. Winkelholz
Dirk Eisenbiegle,Dirk Eisenbiegler
Vijay K. Madisett,Vijay K. Madisetti
Johan Thorbiörnso,Johan Thorbiörnson
Ghulam A. Farruk,Ghulam A. Farrukh
M. K. Krishna Narasimhan MK,M. K. Krishna Narasimhan
Jesús Carreter,Jesús Carretero
John P Huelsenbeck,John P. Huelsenbeck
Stephen A. Szygend,Stephen A. Szygenda
S. Sandeep Pradhanz,S. Sandeep Pradhan
Tinku Acharyay,Tinku Acharya
Celso M. da Costa Felipe Martins Müller,Celso M. da Costa
Hong-Yuan Mark Lia,Hong-Yuan Mark Liao
Lar Konieczny,Lars Konieczny
J. D. Hirst,Jonathan D. Hirst
Kees A. Visser,Kees A. Vissers
Paul Sueten,Paul Suetens
Steve Zdancewi,Steve Zdancewic
Ricardo Mejí,Ricardo Mejía
Arno Schö,Arno Schönegge
Mark S. Nixo,Mark S. Nixon
Julie Yu-Chih Li,Julie Yu-Chih Liu
In So Kweon,In-So Kweon
Jignesh Patel,Jignesh M. Patel
Atilla Gursöy,Attila Gürsoy
Jordan B. Pollac,Jordan B. Pollack
Gerrit Vos,Gerrit Voss
Martin Loebbing,Martin Löbbing
